company_url,metric,value
https://www.gpw.pl//spolka?isin=PLPRBLG00010,Aktywa obrotowe,"2 048,00"
https://www.gpw.pl//spolka?isin=PLPRBLG00010,Kapitał własny udziałowców podmiotu dominującego,"-13 454,00"
https://www.gpw.pl//spolka?isin=PLPRBLG00010,Kapitał podstawowy,"397,00"
https://www.gpw.pl//spolka?isin=PLPRBLG00010,Zobowiązania długoterminowe,"148,00"
https://www.gpw.pl//spolka?isin=PLPRBLG00010,Zobowiązania krótkoterminowe,"15 628,00"
https://www.gpw.pl//spolka?isin=PLPRBLG00010,Przepływy operacyjne,"-785,00"
https://www.gpw.pl//spolka?isin=PLPRBLG00010,Przepływy inwestycyjne,"21,00"
https://www.gpw.pl//spolka?isin=PLPRBLG00010,Przepływy finansowe,"677,00"
https://www.gpw.pl//spolka?isin=PLPRBLG00010,Przepływy pieniężne netto,"-87,00"
https://www.gpw.pl//spolka?isin=PLPRBLG00010,EBITDA,"-746,00"
https://www.gpw.pl//spolka?isin=PLPRBLG00010,Stopa zwrotu z aktywów (ROA),"-1,70"
https://www.gpw.pl//spolka?isin=PLPRBLG00010,Wskaźnik płynności bieżącej,"0,13"
https://www.gpw.pl//spolka?isin=PLPRBLG00010,Wskaźnik płynności szybkiej,"0,13"
https://www.gpw.pl//spolka?isin=PLPRBLG00010,Wskaźnik obsługi zadłużenia,"-8,23"
https://www.gpw.pl//spolka?isin=PLSARE000013,Przychody ze sprzedaży,"15 837,05"
https://www.gpw.pl//spolka?isin=PLSARE000013,Zysk/strata ze sprzedaży,"-868,62"
https://www.gpw.pl//spolka?isin=PLSARE000013,Pozostałe przychody operacyjne,"106,93"
https://www.gpw.pl//spolka?isin=PLSARE000013,Zysk/strata z działalności operacyjnej,"-820,38"
https://www.gpw.pl//spolka?isin=PLSARE000013,Przychody finansowe,"17,02"
https://www.gpw.pl//spolka?isin=PLSARE000013,Zysk/strata brutto,"-879,23"
https://www.gpw.pl//spolka?isin=PLSARE000013,zysk/strata netto udziałowców jednostki dominującej,"-1 335,43"
https://www.gpw.pl//spolka?isin=PLSARE000013,Amortyzacja (noty),"677,89"
https://www.gpw.pl//spolka?isin=PLSARE000013,AKTYWA,"27 287,56"
https://www.gpw.pl//spolka?isin=PLSARE000013,Aktywa trwałe,"14 490,81"
https://www.gpw.pl//spolka?isin=PLSARE000013,Aktywa obrotowe,"12 796,75"
https://www.gpw.pl//spolka?isin=PLSARE000013,Kapitał własny udziałowców podmiotu dominującego,"13 648,89"
https://www.gpw.pl//spolka?isin=PLSARE000013,Kapitał podstawowy,"248,58"
https://www.gpw.pl//spolka?isin=PLSARE000013,Zobowiązania długoterminowe,"1 426,37"
https://www.gpw.pl//spolka?isin=PLSARE000013,Zobowiązania krótkoterminowe,"12 026,34"
https://www.gpw.pl//spolka?isin=PLSARE000013,Przepływy operacyjne,"-427,73"
https://www.gpw.pl//spolka?isin=PLSARE000013,Przepływy inwestycyjne,"-223,96"
https://www.gpw.pl//spolka?isin=PLSARE000013,Nabycie rzeczowych aktywów trwałych oraz wartości niematerialnych,"-266,67"
https://www.gpw.pl//spolka?isin=PLSARE000013,Przepływy finansowe,"-1 158,09"
https://www.gpw.pl//spolka?isin=PLSARE000013,Przepływy pieniężne netto,"-1 809,77"
https://www.gpw.pl//spolka?isin=PLSARE000013,EBITDA,"-142,49"
https://www.gpw.pl//spolka?isin=PLSARE000013,Stopa zwrotu z kapitału własnego (ROE),"-0,32"
https://www.gpw.pl//spolka?isin=PLSARE000013,Stopa zwrotu z aktywów (ROA),"-0,16"
https://www.gpw.pl//spolka?isin=PLSARE000013,Wskaźnik płynności bieżącej,"1,06"
https://www.gpw.pl//spolka?isin=PLSARE000013,Wskaźnik płynności szybkiej,"1,06"
https://www.gpw.pl//spolka?isin=PLSARE000013,Wskaźnik obsługi zadłużenia,"-6,05"
https://www.gpw.pl//spolka?isin=PLTHP0000011,Przychody ze sprzedaży,"27 817,00"
https://www.gpw.pl//spolka?isin=PLTHP0000011,Zysk/strata ze sprzedaży,"3 551,00"
https://www.gpw.pl//spolka?isin=PLTHP0000011,Pozostałe przychody operacyjne,"281,00"
https://www.gpw.pl//spolka?isin=PLTHP0000011,Zysk/strata z działalności operacyjnej,"2 786,00"
https://www.gpw.pl//spolka?isin=PLTHP0000011,Przychody finansowe,"1 149,00"
https://www.gpw.pl//spolka?isin=PLTHP0000011,Zysk/strata brutto,"3 312,00"
https://www.gpw.pl//spolka?isin=PLTHP0000011,zysk/strata netto udziałowców jednostki dominującej,"3 312,00"
https://www.gpw.pl//spolka?isin=PLTHP0000011,Amortyzacja (noty),"1 340,00"
https://www.gpw.pl//spolka?isin=PLTHP0000011,AKTYWA,"106 524,00"
https://www.gpw.pl//spolka?isin=PLTHP0000011,Aktywa trwałe,"70 926,00"
https://www.gpw.pl//spolka?isin=PLTHP0000011,Aktywa obrotowe,"35 598,00"
https://www.gpw.pl//spolka?isin=PLTHP0000011,Kapitał własny udziałowców podmiotu dominującego,"72 574,00"
https://www.gpw.pl//spolka?isin=PLTHP0000011,Kapitał podstawowy,"66 298,00"
https://www.gpw.pl//spolka?isin=PLTHP0000011,Zobowiązania długoterminowe,"17 279,00"
https://www.gpw.pl//spolka?isin=PLTHP0000011,Zobowiązania krótkoterminowe,"16 671,00"
https://www.gpw.pl//spolka?isin=PLTHP0000011,Przepływy operacyjne,"-4 874,00"
https://www.gpw.pl//spolka?isin=PLTHP0000011,Przepływy inwestycyjne,"-1 101,00"
https://www.gpw.pl//spolka?isin=PLTHP0000011,Nabycie rzeczowych aktywów trwałych oraz wartości niematerialnych,"-552,00"
https://www.gpw.pl//spolka?isin=PLTHP0000011,Przepływy finansowe,"9 410,00"
https://www.gpw.pl//spolka?isin=PLTHP0000011,Przepływy pieniężne netto,"3 435,00"
https://www.gpw.pl//spolka?isin=PLTHP0000011,EBITDA,"4 126,00"
https://www.gpw.pl//spolka?isin=PLTHP0000011,Stopa zwrotu z kapitału własnego (ROE),"0,10"
