company_url,shareholder,shares_count,shares_pct,votes_count,votes_pct
https://www.gpw.pl/spolka?isin=PLMSTPL00018,Mostostal Warszawa Spółka Akcyjna,973 857,"48,69",1 240 905,"53,21"
https://www.gpw.pl/spolka?isin=PLMSTPL00018,Powszechne Towarzystwo Emerytalne PZU S.A.,153 028,"7,65",153 028,"6,56"
https://www.gpw.pl/spolka?isin=PLMSTSD00019,Porozumienie akcjonariuszy: ENEA S.A.. ENERGA S.A.. PGE S.A.. PGNiG TECHNOLOGIE S.A. *,161 920 097,"64,93",161 920 097,"64,93"
https://www.gpw.pl/spolka?isin=PLMSTWS00019,Acciona S.A. w Madrycie *,12 426 388,"62,13",12 426 388,"62,13"
https://www.gpw.pl/spolka?isin=PLMSTWS00019,Powszechne Towarzystwo Emerytalne PZU S.A.,3 827 053,"19,14",3 827 053,"19,14"
https://www.gpw.pl/spolka?isin=PLMSTZB00018,Porozumienie: p. Krzysztof Jędrzejewski. KMW Investment Sp. z o.o.,29 023 143,"39,23",29 023 143,"39,23"
https://www.gpw.pl/spolka?isin=PLMSTZB00018,MOSTOSTAL ZABRZE Spółka Akcyjna,5 320 000,"7,19",5 320 000,"7,19"
https://www.gpw.pl/spolka?isin=PLMSTZB00018,VALUE Fundusz Inwestycyjny Zamknięty z wydzielonym Subfunduszem 1,4 195 870,"5,67",4 195 870,"5,67"
https://www.gpw.pl/spolka?isin=PLMSTZB00018,Bogdan Bigus,3 728 200,"5,04",3 728 200,"5,04"
https://www.gpw.pl/spolka?isin=PLMURPL00190,AEREF V PL Inwestycje sp. z o.o.,17 560 000,"43,04",17 560 000,"43,04"
https://www.gpw.pl/spolka?isin=PLMURPL00190,NATIONALE-NEDERLANDEN Powszechne Towarzystwo Emerytalne S.A.,4 757 113,"11,66",4 757 113,"11,66"
https://www.gpw.pl/spolka?isin=PLMURPL00190,Porozumienie:  Hampont sp. z o.o.  Poddębice Retail Invest sp. z o.o.,4 080 000,"10,00",4 080 000,"10,00"
https://www.gpw.pl/spolka?isin=PLMURPL00190,Norges Bank (The Central Bank of Norway),2 079 842,"5,10",2 079 842,"5,10"
https://www.gpw.pl/spolka?isin=PLMUZA000019,Małgorzata Czarzasty,880 007,"26,92",880 007,"23,60"
https://www.gpw.pl/spolka?isin=PLMUZA000019,Marcin Garlinski,598 200,"18,30",598 200,"16,04"
https://www.gpw.pl/spolka?isin=PLMUZA000019,Tomasz Skrok,447 501,"13,69",447 501,"12,00"
https://www.gpw.pl/spolka?isin=PLMUZA000019,Stanisław Stępień,303 237,"9,28",419 789,"11,26"
https://www.gpw.pl/spolka?isin=PLMUZA000019,Adam Majdzik,205 778,"6,29",205 778,"5,52"
https://www.gpw.pl/spolka?isin=PLMUZA000019,Grażyna Kaczmarek,41 085,"1,26",205 425,"5,51"
https://www.gpw.pl/spolka?isin=PLMUZA000019,Muza Spółka Akcyjna,26 518,"0,81",26 518,"0,71"
https://www.gpw.pl/spolka?isin=PLMVGMS00011,Mateusz Andrzej Wcześniak *,257 942,"10,02",257 942,"10,02"
https://www.gpw.pl/spolka?isin=PLMVGMS00011,Jakub Władysław Trzebiński,257 251,"10,00",257 251,"10,00"
https://www.gpw.pl/spolka?isin=PLMWTRD00013,Beyondream Investments Limited,1 532 000,"60,02",1 532 000,"60,02"
https://www.gpw.pl/spolka?isin=PLMWTRD00013,Marcin Billewicz *,200 000,"7,84",200 000,"7,84"
https://www.gpw.pl/spolka?isin=PLMWTRD00013,Maciej Mizuro,148 898,"5,83",148 898,"5,83"
https://www.gpw.pl/spolka?isin=PLMXCMS00016,Arkadiusz Wilusz,1 745 211,"64,64",1 745 211,"64,64"
https://www.gpw.pl/spolka?isin=PLMXCMS00016,Andrzej Wilusz,176 322,"6,53",176 322,"6,53"
https://www.gpw.pl/spolka?isin=PLNCTLC00018,Synthex Technologies sp. z o.o.,275 753,"17,44",275 753,"17,44"
https://www.gpw.pl/spolka?isin=PLNCTLC00018,Rubicon Partners Ventures Alternatywna Spółka Inwestycyjna Spółka z ograniczoną odpowiedzialnością *,117 719,"7,44",117 719,"7,44"
https://www.gpw.pl/spolka?isin=PLNCTLC00018,Mariusz Bosiak,100 000,"6,32",100 000,"6,32"
https://www.gpw.pl/spolka?isin=PLNCTLC00018,ASI ValueTech Seed spółka z ograniczoną odpowiedzialnością sp. k.,97 014,"6,13",97 014,"6,13"
https://www.gpw.pl/spolka?isin=PLNCTLC00018,Polski Instytut Badań i Rozwoju Inwestycje sp. z o.o.,97 014,"6,13",97 014,"6,13"
https://www.gpw.pl/spolka?isin=PLNEPTS00011,Adam Tychmanowicz,291 815,"29,18",490 821,"34,59"
https://www.gpw.pl/spolka?isin=PLNEPTS00011,Filip Maciej Kolendo,290 503,"29,05",489 509,"34,50"
https://www.gpw.pl/spolka?isin=PLNEPTS00011,Tadeusz Sudoł,89 586,"8,96",89 586,"6,31"
https://www.gpw.pl/spolka?isin=PLNEWAG00012,Porozumienie: p.Zbigniew Jakubas.Jakubas Investment spółka z o.o.. p.Zbigniew Konieczek.Sestesso sp. z o.o..p.Bogdan Borek. Immovent sp. z o.o..FIP 11 FIZ AN,23 523 378,"52,27",23 523 378,"52,27"
https://www.gpw.pl/spolka?isin=PLNEWAG00012,NATIONALE-NEDERLANDEN Powszechne Towarzystwo Emerytalne S.A.,4 045 610,"8,99",4 045 610,"8,99"
https://www.gpw.pl/spolka?isin=PLNEWAG00012,Powszechne Towarzystwo Emerytalne Allianz Polska S.A.,3 833 664,"8,52",3 833 664,"8,52"
https://www.gpw.pl/spolka?isin=PLNEWAG00012,Generali Powszechne Towarzystwo Emerytalne SA,3 346 865,"7,44",3 346 865,"7,44"
https://www.gpw.pl/spolka?isin=PLNEWAG00012,Powszechne Towarzystwo Emerytalne PZU S.A.,3 274 363,"7,28",3 274 363,"7,28"
https://www.gpw.pl/spolka?isin=PLNFI0400015,Maciej Zientara *,9 195 990,"42,69",9 195 990,"42,69"
https://www.gpw.pl/spolka?isin=PLNFI0500012,Fundacja Rodzinna Stachura w organizacji,15 111 601,"43,16",15 111 601,"43,16"
https://www.gpw.pl/spolka?isin=PLNFI0500012,Rubicon Partners Ventures Alternatywna Spółka Inwestycyjna Spółka z ograniczoną odpowiedzialnością,3 442 299,"9,83",3 442 299,"9,83"
https://www.gpw.pl/spolka?isin=PLNFI0500012,Paweł Krzyształowicz,2 640 000,"7,54",2 640 000,"7,54"
https://www.gpw.pl/spolka?isin=PLNFI0600010,RG VENTURES SP. O.O.,3 753 307,"26,96",3 753 307,"26,96"
https://www.gpw.pl/spolka?isin=PLNFI0600010,Magna Polonia Spółka Akcyjna,180 000,"1,29",180 000,"1,29"
https://www.gpw.pl/spolka?isin=PLNFI0700018,January Ciszewski,1 890 336,"24,14",1 890 336,"24,14"
https://www.gpw.pl/spolka?isin=PLNFI0700018,Artur Górski,646 685,"8,26",646 685,"8,26"
https://www.gpw.pl/spolka?isin=PLNFI0700018,Artur Jedynak,500 768,"6,39",500 768,"6,39"
https://www.gpw.pl/spolka?isin=PLNFI0700018,Sławomir Jarosz,470 000,"6,00",470 000,"6,00"
https://www.gpw.pl/spolka?isin=PLNFI0700018,Telma Nieruchomości Sp. z o.o.,470 000,"6,00",470 000,"6,00"
https://www.gpw.pl/spolka?isin=PLNFI0800016,Beresford Energy Corp.,24 312 211,"56,82",24 312 211,"56,82"
https://www.gpw.pl/spolka?isin=PLNFI0800016,Finchley Investments LLC,8 500 000,"19,87",8 500 000,"19,87"
https://www.gpw.pl/spolka?isin=PLNFI0800016,NATIONALE-NEDERLANDEN Powszechne Towarzystwo Emerytalne S.A.,4 616 923,"10,79",4 616 923,"10,79"
