company_url,last_day_with_right,operation_type,parameter
https://www.gpw.pl/spolka?isin=PLBOS0000019,2005-07-07,Dywidenda,0.1500
https://www.gpw.pl/spolka?isin=PLBOS0000019,2004-07-07,Dywidenda,0.0900
https://www.gpw.pl/spolka?isin=PLBOS0000019,2003-07-09,Dywidenda,0.2500
https://www.gpw.pl/spolka?isin=PLBOWM000019,2024-07-08,Dywidenda,0.1000
https://www.gpw.pl/spolka?isin=PLBOWM000019,2023-07-06,Dywidenda,0.6000
https://www.gpw.pl/spolka?isin=PLBOWM000019,2022-06-14,Dywidenda,2.5200
https://www.gpw.pl/spolka?isin=PLBOWM000019,2021-06-02,Dywidenda,0.1200
https://www.gpw.pl/spolka?isin=PLBOWM000019,2019-06-24,Dywidenda,0.0300
https://www.gpw.pl/spolka?isin=PLBRE0000012,2018-05-22,Dywidenda,5.1500
https://www.gpw.pl/spolka?isin=PLBRE0000012,2014-04-29,Dywidenda,17.0000
https://www.gpw.pl/spolka?isin=PLBRE0000012,2013-05-10,Dywidenda,10.0000
https://www.gpw.pl/spolka?isin=PLBRE0000012,2010-05-13,Prawo poboru,12.00 : 5.00
https://www.gpw.pl/spolka?isin=PLBRE0000012,2004-05-25,Prawo poboru,4.00 : 1.00
https://www.gpw.pl/spolka?isin=PLBRSZW00011,2025-05-26,Dywidenda,0.3500
https://www.gpw.pl/spolka?isin=PLBRSZW00011,2024-05-23,Dywidenda,0.4400
https://www.gpw.pl/spolka?isin=PLBRSZW00011,2023-05-25,Dywidenda,0.7400
https://www.gpw.pl/spolka?isin=PLBRSZW00011,2022-06-01,Dywidenda,0.9200
https://www.gpw.pl/spolka?isin=PLBRSZW00011,2015-06-30,Dywidenda,0.1000
https://www.gpw.pl/spolka?isin=PLBSK0000017,2025-05-02,Dywidenda,25.1800
https://www.gpw.pl/spolka?isin=PLBSK0000017,2024-04-15,Dywidenda,33.3500
https://www.gpw.pl/spolka?isin=PLBSK0000017,2022-04-12,Dywidenda,5.3000
https://www.gpw.pl/spolka?isin=PLBSK0000017,2021-12-01,Dywidenda,5.1000
https://www.gpw.pl/spolka?isin=PLBSK0000017,2019-04-16,Dywidenda,3.5000
https://www.gpw.pl/spolka?isin=PLBTCOM00016,2024-09-04,Dywidenda,0.3000
https://www.gpw.pl/spolka?isin=PLBTCOM00016,2023-09-26,Dywidenda,0.2300
https://www.gpw.pl/spolka?isin=PLBTCOM00016,2023-08-03,Podział (split),2.00
https://www.gpw.pl/spolka?isin=PLBTCOM00016,2022-09-30,Dywidenda,0.3600
https://www.gpw.pl/spolka?isin=PLBTCOM00016,2019-09-09,Dywidenda,0.3000
https://www.gpw.pl/spolka?isin=PLBUDMX00013,2025-06-03,Dywidenda,25.4300
https://www.gpw.pl/spolka?isin=PLBUDMX00013,2024-05-27,Dywidenda,35.6900
https://www.gpw.pl/spolka?isin=PLBUDMX00013,2023-05-23,Dywidenda,17.9900
https://www.gpw.pl/spolka?isin=PLBUDMX00013,2022-05-27,Dywidenda,23.4700
https://www.gpw.pl/spolka?isin=PLBUDMX00013,2021-05-28,Dywidenda,16.7000
https://www.gpw.pl/spolka?isin=PLBZ00000044,2025-05-09,Dywidenda,46.3700
https://www.gpw.pl/spolka?isin=PLBZ00000044,2024-05-14,Dywidenda,44.6300
https://www.gpw.pl/spolka?isin=PLBZ00000044,2022-05-23,Dywidenda,2.6800
